Population	COL_NEW	PCH_NEW
Ngumba	chocolate	0
Nzime	chocolate1	1
Ba.Konjo	chocolate3	2
Ba.Kiga	chocolate4	3
Xhosa	coral2	0
Sotho	coral4	1
Luhya	firebrick1	2
Bantu_Herero	firebrick3	3
Bantu_Kenya	firebrick4	4
Bantu_Tswana	red	5
Lemande	red3	6
Zulu	coral	7
Mandenka	pink	0
Yoruba	pink2	1
Esan	pink3	2
Mende	palevioletred	3
Gambian	plum	4
Igbo	plum1	5
Mandinka	hotpink1	6
Kongo	hotpink3	7
Juhoansi	deepskyblue2	0
Juhoansi_comp	deepskyblue4	1
Xun	lightblue1	2
Khutse_San	navy	3
Karretjie	royalblue	4
Khomani	steelblue1	5
Nama	slateblue4	0
Baka	chartreuse	0
Ba.Kola	chartreuse3	1
Bi.Aka_Mbati	chartreuse4	2
Biaka	darkseagreen	3
Nsua	turquoise1	0
Ba.Twa	turquoise3	1
Mbuti	turquoise4	2
Mozabite	lightgoldenrod1	0
Saharawi	lightgoldenrod3	1
Somali	lightgoldenrod4	2
Dinka	mediumpurple4	0
Luo	mediumpurple3	1
Maasai	mediumpurple1	2
Coloured	violetred	0
French	gray0	0
CEU	gray19	1
Dai	gray30	2
Papuan	gray48	3
Karitiana	gray66	4

